inventory_id,store_id,region_code,product_id,category,stock_quantity,reorder_point,days_cover,last_restock_date,is_low_stock,is_ghost_stock,monthly_cost_of_carry_usd
INV-0001612,IR-UAE-014,UAE,FAP-0012,Fashion & Apparel,144,24,20,2024-11-27,False,False,43.2
INV-0005641,IR-FR-030,FR,GRO-0001,Groceries & Fresh Food,126,29,21,2024-11-15,False,False,11.34
INV-0008675,IR-EG-021,EG,ELE-0015,Electronics & Appliances,70,47,15,2024-06-09,False,False,203.0
INV-0010920,IR-BR-002,BR,SPL-0020,Sports & Leisure,30,41,10,2024-10-21,True,False,3.6
INV-0005479,IR-FR-028,FR,HOM-0019,Home & Living,187,40,8,2024-04-22,False,False,168.3
INV-0002118,IR-UAE-018,UAE,HOM-0018,Home & Living,51,50,18,2024-03-01,False,False,19.38
INV-0002082,IR-UAE-018,UAE,FAP-0002,Fashion & Apparel,39,30,17,2024-11-27,False,False,10.92
INV-0009302,IR-PK-004,PK,HOM-0002,Home & Living,33,38,13,2024-11-07,True,False,9.24
INV-0006134,IR-FR-034,FR,GRO-0014,Groceries & Fresh Food,44,47,14,2024-12-27,True,False,1.23
INV-0000169,IR-UAE-002,UAE,FAP-0009,Fashion & Apparel,29,48,18,2024-09-23,True,False,20.3
INV-0008146,IR-EG-016,EG,SPL-0006,Sports & Leisure,28,10,114,2024-02-06,False,True,15.68
INV-0004891,IR-FR-023,FR,HNB-0011,Health & Beauty,108,44,27,2024-10-23,False,False,60.48
INV-0007287,IR-EG-009,EG,HNB-0007,Health & Beauty,197,28,20,2024-05-15,False,False,86.68
INV-0007887,IR-EG-014,EG,HNB-0007,Health & Beauty,121,30,14,2024-11-02,False,False,53.24
INV-0007874,IR-EG-014,EG,HOM-0014,Home & Living,163,20,11,2024-08-04,False,False,29.34
INV-0012982,IR-BR-020,BR,ELE-0002,Electronics & Appliances,23,32,23,2024-09-04,True,False,239.2
INV-0012033,IR-BR-012,BR,ELE-0013,Electronics & Appliances,45,42,9,2024-12-23,False,False,76.5
INV-0009442,IR-PK-005,PK,HNB-0002,Health & Beauty,92,20,15,2024-08-27,False,False,9.2
INV-0004741,IR-FR-022,FR,HOM-0001,Home & Living,142,29,24,2024-05-04,False,False,62.48
INV-0002761,IR-FR-006,FR,GRO-0001,Groceries & Fresh Food,63,35,7,2024-06-16,False,False,5.67
INV-0002184,IR-FR-001,FR,ELE-0004,Electronics & Appliances,149,46,16,2024-10-04,False,False,134.1
INV-0001262,IR-UAE-011,UAE,HOM-0002,Home & Living,30,39,29,2024-06-05,True,False,8.4
INV-0002859,IR-FR-006,FR,HNB-0019,Health & Beauty,138,27,29,2024-03-06,False,False,11.59
INV-0007255,IR-EG-009,EG,FAP-0015,Fashion & Apparel,21,20,12,2024-01-22,False,False,4.62
INV-0010929,IR-BR-003,BR,GRO-0009,Groceries & Fresh Food,174,21,20,2024-10-11,False,False,5.22
INV-0004817,IR-FR-023,FR,GRO-0017,Groceries & Fresh Food,88,27,13,2024-10-16,False,False,4.93
INV-0008217,IR-EG-017,EG,FAP-0017,Fashion & Apparel,150,39,25,2024-10-14,False,False,39.0
INV-0001011,IR-UAE-009,UAE,FAP-0011,Fashion & Apparel,41,46,10,2024-11-08,True,False,22.96
INV-0003593,IR-FR-012,FR,SPL-0013,Sports & Leisure,59,21,8,2024-07-28,False,False,9.44
INV-0008349,IR-EG-018,EG,HOM-0009,Home & Living,46,24,17,2024-09-05,False,False,7.36
INV-0001352,IR-UAE-012,UAE,ELE-0012,Electronics & Appliances,77,39,13,2024-01-16,False,False,53.9
INV-0006799,IR-EG-005,EG,HOM-0019,Home & Living,25,44,12,2024-03-11,True,False,22.5
INV-0010789,IR-BR-001,BR,SPL-0009,Sports & Leisure,194,20,19,2024-01-02,False,False,19.4
INV-0006076,IR-FR-033,FR,HOM-0016,Home & Living,34,34,24,2024-03-13,False,False,19.04
INV-0012440,IR-BR-015,BR,HOM-0020,Home & Living,105,32,17,2024-09-05,False,False,12.6
INV-0004044,IR-FR-016,FR,HNB-0004,Health & Beauty,157,35,14,2024-08-10,False,False,26.69
INV-0013711,IR-BR-026,BR,ELE-0011,Electronics & Appliances,124,28,15,2024-09-27,False,False,69.44
INV-0009291,IR-PK-004,PK,FAP-0011,Fashion & Apparel,100,22,27,2024-05-11,False,False,56.0
INV-0004085,IR-FR-017,FR,GRO-0005,Groceries & Fresh Food,76,44,13,2024-11-01,False,False,4.86
INV-0002146,IR-UAE-018,UAE,SPL-0006,Sports & Leisure,12,10,101,2024-03-18,False,True,6.72
INV-0005763,IR-FR-031,FR,GRO-0003,Groceries & Fresh Food,65,47,22,2024-01-20,False,False,6.76
INV-0012420,IR-BR-015,BR,FAP-0020,Fashion & Apparel,138,32,18,2024-04-27,False,False,24.84
INV-0001476,IR-UAE-013,UAE,ELE-0016,Electronics & Appliances,152,25,11,2024-01-16,False,False,1155.2
INV-0002086,IR-UAE-018,UAE,FAP-0006,Fashion & Apparel,21,25,22,2024-04-16,True,False,6.3
INV-0011077,IR-BR-004,BR,ELE-0017,Electronics & Appliances,63,28,10,2024-10-10,False,False,220.5
INV-0007170,IR-EG-008,EG,HNB-0010,Health & Beauty,163,44,9,2024-07-01,False,False,11.41
INV-0010564,IR-PK-015,PK,GRO-0004,Groceries & Fresh Food,104,22,21,2024-03-18,False,False,14.14
INV-0009547,IR-PK-006,PK,HOM-0007,Home & Living,37,25,25,2024-06-13,False,False,6.66
INV-0004216,IR-FR-018,FR,GRO-0016,Groceries & Fresh Food,97,20,26,2024-11-08,False,False,14.55
INV-0008887,IR-PK-001,PK,GRO-0007,Groceries & Fresh Food,157,37,12,2024-04-08,False,False,5.65
INV-0010888,IR-BR-002,BR,HNB-0008,Health & Beauty,172,26,26,2024-07-23,False,False,82.56
INV-0002949,IR-FR-007,FR,HOM-0009,Home & Living,183,21,10,2024-01-24,False,False,29.28
INV-0000885,IR-UAE-008,UAE,FAP-0005,Fashion & Apparel,20,36,25,2024-12-14,True,False,1.6
INV-0003470,IR-FR-011,FR,SPL-0010,Sports & Leisure,153,42,19,2024-09-05,False,False,67.32
INV-0000773,IR-UAE-007,UAE,FAP-0013,Fashion & Apparel,41,23,7,2024-12-14,False,False,8.2
INV-0003956,IR-FR-015,FR,SPL-0016,Sports & Leisure,188,36,21,2024-06-13,False,False,45.12
INV-0013514,IR-BR-024,BR,HOM-0014,Home & Living,40,30,28,2024-04-22,False,False,7.2
INV-0011747,IR-BR-009,BR,SPL-0007,Sports & Leisure,85,26,23,2024-11-23,False,False,37.4
INV-0002885,IR-FR-007,FR,GRO-0005,Groceries & Fresh Food,33,49,13,2024-06-25,True,False,2.11
INV-0003342,IR-FR-010,FR,SPL-0002,Sports & Leisure,79,46,22,2024-01-27,False,False,22.12
INV-0002630,IR-FR-004,FR,SPL-0010,Sports & Leisure,108,24,13,2024-10-27,False,False,47.52
INV-0003412,IR-FR-011,FR,FAP-0012,Fashion & Apparel,84,50,8,2024-12-21,False,False,25.2
INV-0000737,IR-UAE-007,UAE,GRO-0017,Groceries & Fresh Food,25,32,25,2024-08-02,True,False,1.4
INV-0009261,IR-PK-004,PK,ELE-0001,Electronics & Appliances,162,41,11,2024-12-07,False,False,1231.2
INV-0001784,IR-UAE-015,UAE,SPL-0004,Sports & Leisure,20,10,68,2024-04-27,False,True,15.2
INV-0008207,IR-EG-017,EG,FAP-0007,Fashion & Apparel,152,26,22,2024-05-22,False,False,24.32
INV-0012598,IR-BR-016,BR,SPL-0018,Sports & Leisure,87,34,19,2024-06-07,False,False,15.66
INV-0002326,IR-FR-002,FR,FAP-0006,Fashion & Apparel,110,26,29,2024-01-25,False,False,33.0
INV-0010752,IR-BR-001,BR,HOM-0012,Home & Living,145,35,9,2024-12-02,False,False,23.2
INV-0009356,IR-PK-004,PK,SPL-0016,Sports & Leisure,17,10,51,2024-07-17,False,True,4.08
INV-0008665,IR-EG-021,EG,ELE-0005,Electronics & Appliances,47,47,14,2024-05-22,False,False,89.3
INV-0007739,IR-EG-013,EG,FAP-0019,Fashion & Apparel,46,43,8,2024-02-01,False,False,3.68
INV-0005922,IR-FR-032,FR,FAP-0002,Fashion & Apparel,175,21,19,2024-02-04,False,False,49.0
INV-0005602,IR-FR-029,FR,HNB-0002,Health & Beauty,124,48,8,2024-07-06,False,False,12.4
INV-0005897,IR-FR-032,FR,GRO-0017,Groceries & Fresh Food,157,45,14,2024-12-01,False,False,8.79
INV-0013309,IR-BR-022,BR,SPL-0009,Sports & Leisure,120,47,15,2024-12-09,False,False,12.0
INV-0003479,IR-FR-011,FR,SPL-0019,Sports & Leisure,68,47,23,2024-06-16,False,False,10.88
INV-0012272,IR-BR-014,BR,ELE-0012,Electronics & Appliances,114,47,11,2024-04-06,False,False,79.8
INV-0008814,IR-EG-022,EG,FAP-0014,Fashion & Apparel,148,44,9,2024-10-02,False,False,26.64
INV-0010652,IR-PK-015,PK,HNB-0012,Health & Beauty,106,37,23,2024-04-19,False,False,16.54
INV-0008900,IR-PK-001,PK,GRO-0020,Groceries & Fresh Food,85,30,19,2024-08-22,False,False,5.27
INV-0003434,IR-FR-011,FR,HOM-0014,Home & Living,154,28,10,2024-07-08,False,False,27.72
INV-0007727,IR-EG-013,EG,FAP-0007,Fashion & Apparel,172,24,26,2024-11-10,False,False,27.52
INV-0003069,IR-FR-008,FR,HOM-0009,Home & Living,184,38,28,2024-10-13,False,False,29.44
INV-0009449,IR-PK-005,PK,HNB-0009,Health & Beauty,106,29,25,2024-08-08,False,False,11.02
INV-0002597,IR-FR-004,FR,HOM-0017,Home & Living,32,21,24,2024-05-27,False,False,7.68
INV-0011142,IR-BR-004,BR,SPL-0002,Sports & Leisure,147,30,23,2024-09-01,False,False,41.16
INV-0008835,IR-EG-022,EG,HOM-0015,Home & Living,85,50,29,2024-11-21,False,False,11.9
INV-0009943,IR-PK-009,PK,SPL-0003,Sports & Leisure,26,10,91,2024-01-15,False,True,4.16
INV-0010501,IR-PK-014,PK,HOM-0001,Home & Living,145,38,19,2024-06-15,False,False,63.8
INV-0004418,IR-FR-019,FR,HNB-0018,Health & Beauty,103,39,27,2024-05-17,False,False,17.51
INV-0000354,IR-UAE-003,UAE,SPL-0014,Sports & Leisure,27,10,119,2024-09-28,False,True,35.1
INV-0011878,IR-BR-010,BR,SPL-0018,Sports & Leisure,200,44,15,2024-10-04,False,False,36.0
INV-0012513,IR-BR-016,BR,ELE-0013,Electronics & Appliances,65,42,25,2024-12-26,False,False,110.5
INV-0002158,IR-UAE-018,UAE,SPL-0018,Sports & Leisure,8,10,116,2024-12-22,True,True,1.44
INV-0004780,IR-FR-022,FR,HNB-0020,Health & Beauty,155,33,14,2024-05-05,False,False,9.61
INV-0003475,IR-FR-011,FR,SPL-0015,Sports & Leisure,80,42,20,2024-12-02,False,False,44.8
INV-0002705,IR-FR-005,FR,HOM-0005,Home & Living,128,33,26,2024-11-10,False,False,30.72
INV-0005505,IR-FR-028,FR,SPL-0005,Sports & Leisure,20,49,30,2024-02-27,True,False,14.4
INV-0013815,IR-BR-027,BR,GRO-0015,Groceries & Fresh Food,98,35,21,2024-06-07,False,False,4.31
INV-0001087,IR-UAE-010,UAE,GRO-0007,Groceries & Fresh Food,131,30,25,2024-08-06,False,False,4.72
INV-0006267,IR-EG-001,EG,ELE-0007,Electronics & Appliances,32,49,7,2024-10-10,True,False,268.8
INV-0008566,IR-EG-020,EG,FAP-0006,Fashion & Apparel,122,32,25,2024-07-02,False,False,36.6
INV-0012199,IR-BR-013,BR,HOM-0019,Home & Living,92,29,16,2024-04-10,False,False,82.8
INV-0003022,IR-FR-008,FR,ELE-0002,Electronics & Appliances,99,50,18,2024-06-18,False,False,1029.6
INV-0011768,IR-BR-010,BR,GRO-0008,Groceries & Fresh Food,187,33,14,2024-07-25,False,False,2.62
INV-0008962,IR-PK-001,PK,HNB-0002,Health & Beauty,181,21,26,2024-03-28,False,False,18.1
INV-0004953,IR-FR-024,FR,ELE-0013,Electronics & Appliances,32,35,28,2024-04-10,True,False,54.4
INV-0011621,IR-BR-008,BR,SPL-0001,Sports & Leisure,117,21,11,2024-11-07,False,False,42.12
INV-0011327,IR-BR-006,BR,FAP-0007,Fashion & Apparel,119,36,27,2024-03-05,False,False,19.04
INV-0007884,IR-EG-014,EG,HNB-0004,Health & Beauty,54,21,9,2024-03-22,False,False,9.18
INV-0006437,IR-EG-002,EG,HOM-0017,Home & Living,153,42,20,2024-07-15,False,False,36.72
INV-0011134,IR-BR-004,BR,HNB-0014,Health & Beauty,62,20,21,2024-06-07,False,False,34.72
INV-0003276,IR-FR-010,FR,ELE-0016,Electronics & Appliances,119,38,20,2024-04-25,False,False,904.4
INV-0000170,IR-UAE-002,UAE,FAP-0010,Fashion & Apparel,50,43,17,2024-07-02,False,False,22.0
INV-0007304,IR-EG-009,EG,SPL-0004,Sports & Leisure,9,10,55,2024-03-09,True,True,6.84
INV-0004844,IR-FR-023,FR,FAP-0004,Fashion & Apparel,27,47,16,2024-02-02,True,False,3.24
INV-0005911,IR-FR-032,FR,ELE-0011,Electronics & Appliances,159,33,27,2024-07-17,False,False,89.04
INV-0005181,IR-FR-026,FR,ELE-0001,Electronics & Appliances,197,43,14,2024-11-10,False,False,1497.2
INV-0013800,IR-BR-026,BR,SPL-0020,Sports & Leisure,133,32,11,2024-04-03,False,False,15.96
INV-0010947,IR-BR-003,BR,ELE-0007,Electronics & Appliances,117,26,7,2024-02-16,False,False,982.8
INV-0005354,IR-FR-027,FR,HOM-0014,Home & Living,185,31,9,2024-05-05,False,False,33.3
INV-0005494,IR-FR-028,FR,HNB-0014,Health & Beauty,110,40,14,2024-01-22,False,False,61.6
INV-0009629,IR-PK-007,PK,ELE-0009,Electronics & Appliances,141,44,12,2024-03-14,False,False,107.16
INV-0003155,IR-FR-009,FR,ELE-0015,Electronics & Appliances,20,38,26,2024-04-16,True,False,58.0
INV-0012000,IR-BR-011,BR,SPL-0020,Sports & Leisure,97,47,7,2024-08-11,False,False,11.64
INV-0008919,IR-PK-001,PK,ELE-0019,Electronics & Appliances,51,40,24,2024-08-13,False,False,42.84
INV-0013337,IR-BR-023,BR,GRO-0017,Groceries & Fresh Food,196,27,8,2024-07-20,False,False,10.98
INV-0009283,IR-PK-004,PK,FAP-0003,Fashion & Apparel,122,21,17,2024-07-17,False,False,29.28
INV-0006943,IR-EG-006,EG,SPL-0003,Sports & Leisure,12,10,97,2024-12-28,False,True,1.92
INV-0012920,IR-BR-019,BR,HOM-0020,Home & Living,77,42,8,2024-02-24,False,False,9.24
INV-0013434,IR-BR-023,BR,SPL-0014,Sports & Leisure,153,45,21,2024-11-24,False,False,198.9
INV-0011814,IR-BR-010,BR,FAP-0014,Fashion & Apparel,164,35,11,2024-12-09,False,False,29.52
INV-0011397,IR-BR-006,BR,SPL-0017,Sports & Leisure,25,36,10,2024-08-19,True,False,3.5
INV-0011109,IR-BR-004,BR,HOM-0009,Home & Living,76,25,26,2024-05-10,False,False,12.16
INV-0004769,IR-FR-022,FR,HNB-0009,Health & Beauty,63,44,26,2024-07-06,False,False,6.55
INV-0011188,IR-BR-005,BR,ELE-0008,Electronics & Appliances,143,34,21,2024-05-27,False,False,886.6
INV-0002345,IR-FR-002,FR,HOM-0005,Home & Living,98,27,11,2024-06-14,False,False,23.52
INV-0010415,IR-PK-013,PK,HNB-0015,Health & Beauty,145,38,27,2024-11-13,False,False,19.72
INV-0006453,IR-EG-002,EG,HNB-0013,Health & Beauty,162,48,17,2024-01-15,False,False,30.78
INV-0005636,IR-FR-029,FR,SPL-0016,Sports & Leisure,144,23,21,2024-03-13,False,False,34.56
INV-0011437,IR-BR-007,BR,ELE-0017,Electronics & Appliances,123,26,16,2024-06-26,False,False,430.5
INV-0008628,IR-EG-020,EG,SPL-0008,Sports & Leisure,5,10,51,2024-04-27,True,True,0.6
INV-0010190,IR-PK-011,PK,SPL-0010,Sports & Leisure,7,10,80,2024-11-25,True,True,3.08
INV-0003998,IR-FR-016,FR,ELE-0018,Electronics & Appliances,93,33,18,2024-02-28,False,False,176.7
INV-0012683,IR-BR-017,BR,HNB-0003,Health & Beauty,60,39,20,2024-02-26,False,False,5.04
INV-0000609,IR-UAE-006,UAE,GRO-0009,Groceries & Fresh Food,189,41,7,2024-02-06,False,False,5.67
INV-0002202,IR-FR-001,FR,FAP-0002,Fashion & Apparel,165,35,11,2024-04-09,False,False,46.2
INV-0004654,IR-FR-021,FR,HNB-0014,Health & Beauty,80,38,30,2024-03-12,False,False,44.8
INV-0007268,IR-EG-009,EG,HOM-0008,Home & Living,147,31,12,2024-01-24,False,False,32.34
INV-0001122,IR-UAE-010,UAE,FAP-0002,Fashion & Apparel,92,25,21,2024-06-17,False,False,25.76
INV-0006913,IR-EG-006,EG,HOM-0013,Home & Living,162,30,21,2024-08-23,False,False,48.6
INV-0003291,IR-FR-010,FR,FAP-0011,Fashion & Apparel,180,44,15,2024-01-27,False,False,100.8
INV-0013154,IR-BR-021,BR,HOM-0014,Home & Living,78,41,28,2024-12-15,False,False,14.04
INV-0008917,IR-PK-001,PK,ELE-0017,Electronics & Appliances,118,29,24,2024-10-17,False,False,413.0
INV-0001714,IR-UAE-015,UAE,ELE-0014,Electronics & Appliances,93,24,14,2024-10-18,False,False,40.92
INV-0002110,IR-UAE-018,UAE,HOM-0010,Home & Living,138,35,9,2024-12-24,False,False,38.64
INV-0008680,IR-EG-021,EG,ELE-0020,Electronics & Appliances,185,38,10,2024-11-22,False,False,203.5
INV-0003699,IR-FR-013,FR,HNB-0019,Health & Beauty,29,42,16,2024-07-14,True,False,2.44
INV-0001744,IR-UAE-015,UAE,HOM-0004,Home & Living,153,48,20,2024-08-26,False,False,48.96
INV-0007748,IR-EG-013,EG,HOM-0008,Home & Living,45,45,7,2024-12-15,False,False,9.9
INV-0002125,IR-UAE-018,UAE,HNB-0005,Health & Beauty,128,22,30,2024-03-07,False,False,9.73
INV-0011314,IR-BR-006,BR,ELE-0014,Electronics & Appliances,169,24,10,2024-09-11,False,False,74.36
INV-0013540,IR-BR-024,BR,HNB-0020,Health & Beauty,44,44,7,2024-08-18,False,False,2.73
INV-0007842,IR-EG-014,EG,FAP-0002,Fashion & Apparel,40,29,21,2024-07-03,False,False,11.2
INV-0010639,IR-PK-015,PK,HOM-0019,Home & Living,120,20,22,2024-12-05,False,False,108.0
INV-0010632,IR-PK-015,PK,HOM-0012,Home & Living,85,41,25,2024-11-24,False,False,13.6
INV-0009969,IR-PK-010,PK,GRO-0009,Groceries & Fresh Food,37,29,14,2024-04-11,False,False,1.11
INV-0002178,IR-FR-001,FR,GRO-0018,Groceries & Fresh Food,105,47,21,2024-07-13,False,False,2.1
INV-0000625,IR-UAE-006,UAE,ELE-0005,Electronics & Appliances,145,26,14,2024-02-14,False,False,275.5
INV-0000994,IR-UAE-009,UAE,ELE-0014,Electronics & Appliances,126,37,21,2024-10-06,False,False,55.44
INV-0003703,IR-FR-013,FR,SPL-0003,Sports & Leisure,78,31,19,2024-06-03,False,False,12.48
INV-0005014,IR-FR-024,FR,HNB-0014,Health & Beauty,28,44,9,2024-11-14,True,False,15.68
INV-0006956,IR-EG-006,EG,SPL-0016,Sports & Leisure,23,10,58,2024-11-14,False,True,5.52
INV-0005606,IR-FR-029,FR,HNB-0006,Health & Beauty,97,22,17,2024-05-11,False,False,14.55
INV-0013570,IR-BR-025,BR,GRO-0010,Groceries & Fresh Food,154,29,29,2024-12-21,False,False,5.85
INV-0013782,IR-BR-026,BR,SPL-0002,Sports & Leisure,100,48,15,2024-06-28,False,False,28.0
INV-0004948,IR-FR-024,FR,ELE-0008,Electronics & Appliances,197,21,22,2024-07-11,False,False,1221.4
INV-0009072,IR-PK-002,PK,HOM-0012,Home & Living,115,41,7,2024-07-12,False,False,18.4
INV-0013411,IR-BR-023,BR,HNB-0011,Health & Beauty,174,26,17,2024-05-28,False,False,97.44
INV-0003080,IR-FR-008,FR,HOM-0020,Home & Living,80,30,8,2024-12-05,False,False,9.6
INV-0000100,IR-UAE-001,UAE,HNB-0020,Health & Beauty,29,42,30,2024-03-03,True,False,1.8
INV-0008702,IR-EG-021,EG,HOM-0002,Home & Living,80,38,17,2024-02-02,False,False,22.4
INV-0009304,IR-PK-004,PK,HOM-0004,Home & Living,73,32,20,2024-01-20,False,False,23.36
INV-0004897,IR-FR-023,FR,HNB-0017,Health & Beauty,134,46,20,2024-03-28,False,False,16.62
INV-0001656,IR-UAE-014,UAE,HNB-0016,Health & Beauty,169,23,8,2024-01-26,False,False,18.59
INV-0013322,IR-BR-023,BR,GRO-0002,Groceries & Fresh Food,197,39,19,2024-05-19,False,False,3.55
INV-0010839,IR-BR-002,BR,ELE-0019,Electronics & Appliances,162,20,15,2024-01-13,False,False,136.08
INV-0000291,IR-UAE-003,UAE,FAP-0011,Fashion & Apparel,162,47,16,2024-05-04,False,False,90.72
INV-0002320,IR-FR-002,FR,ELE-0020,Electronics & Appliances,171,40,17,2024-06-23,False,False,188.1
INV-0009253,IR-PK-004,PK,GRO-0013,Groceries & Fresh Food,70,33,27,2024-06-02,False,False,1.82
INV-0005045,IR-FR-025,FR,GRO-0005,Groceries & Fresh Food,90,44,15,2024-11-28,False,False,5.76
INV-0006819,IR-EG-005,EG,HNB-0019,Health & Beauty,159,29,29,2024-10-20,False,False,13.36
INV-0003066,IR-FR-008,FR,HOM-0006,Home & Living,78,25,16,2024-01-11,False,False,28.08
INV-0003572,IR-FR-012,FR,HNB-0012,Health & Beauty,166,32,20,2024-01-13,False,False,25.9
INV-0013156,IR-BR-021,BR,HOM-0016,Home & Living,28,46,11,2024-05-13,True,False,15.68
INV-0005107,IR-FR-025,FR,HOM-0007,Home & Living,51,37,11,2024-04-11,False,False,9.18
INV-0003071,IR-FR-008,FR,HOM-0011,Home & Living,128,23,7,2024-04-08,False,False,17.92
INV-0012804,IR-BR-018,BR,HNB-0004,Health & Beauty,124,48,26,2024-04-24,False,False,21.08
INV-0001535,IR-UAE-013,UAE,HNB-0015,Health & Beauty,46,25,20,2024-09-27,False,False,6.26
INV-0009407,IR-PK-005,PK,FAP-0007,Fashion & Apparel,23,43,11,2024-10-12,True,False,3.68
INV-0013708,IR-BR-026,BR,ELE-0008,Electronics & Appliances,52,49,25,2024-08-08,False,False,322.4
INV-0006492,IR-EG-003,EG,GRO-0012,Groceries & Fresh Food,66,39,9,2024-10-05,False,False,1.45
INV-0012490,IR-BR-016,BR,GRO-0010,Groceries & Fresh Food,99,28,21,2024-12-21,False,False,3.76
INV-0004864,IR-FR-023,FR,HOM-0004,Home & Living,72,36,9,2024-09-13,False,False,23.04
INV-0006563,IR-EG-003,EG,HNB-0003,Health & Beauty,82,24,7,2024-07-05,False,False,6.89
INV-0000863,IR-UAE-008,UAE,ELE-0003,Electronics & Appliances,23,26,20,2024-11-21,True,False,110.4
INV-0011085,IR-BR-004,BR,FAP-0005,Fashion & Apparel,186,34,17,2024-08-16,False,False,14.88
INV-0003753,IR-FR-014,FR,ELE-0013,Electronics & Appliances,154,25,9,2024-04-22,False,False,261.8
INV-0011065,IR-BR-004,BR,ELE-0005,Electronics & Appliances,197,33,10,2024-06-14,False,False,374.3
INV-0007289,IR-EG-009,EG,HNB-0009,Health & Beauty,63,35,10,2024-02-16,False,False,6.55
INV-0004352,IR-FR-019,FR,ELE-0012,Electronics & Appliances,97,29,11,2024-11-13,False,False,67.9
INV-0001796,IR-UAE-015,UAE,SPL-0016,Sports & Leisure,23,10,99,2024-03-16,False,True,5.52
INV-0011351,IR-BR-006,BR,HOM-0011,Home & Living,175,48,9,2024-10-01,False,False,24.5
INV-0011498,IR-BR-007,BR,HNB-0018,Health & Beauty,154,46,30,2024-03-10,False,False,26.18
INV-0001767,IR-UAE-015,UAE,HNB-0007,Health & Beauty,80,42,22,2024-10-18,False,False,35.2
INV-0013534,IR-BR-024,BR,HNB-0014,Health & Beauty,192,30,29,2024-03-10,False,False,107.52
INV-0002183,IR-FR-001,FR,ELE-0003,Electronics & Appliances,195,39,7,2024-04-06,False,False,936.0
INV-0008785,IR-EG-022,EG,ELE-0005,Electronics & Appliances,168,20,13,2024-06-22,False,False,319.2
INV-0009774,IR-PK-008,PK,FAP-0014,Fashion & Apparel,143,20,7,2024-07-24,False,False,25.74
INV-0008935,IR-PK-001,PK,FAP-0015,Fashion & Apparel,103,47,13,2024-01-12,False,False,22.66
INV-0001954,IR-UAE-017,UAE,ELE-0014,Electronics & Appliances,193,44,10,2024-06-01,False,False,84.92
